Func: 0 | Step: 1.000000 | Method: hierarchical | ProcType: f0t255 |  => 39/40, 97.5%
Func: 3 | Step: 0.100000 | Method: mds_kmeans | ProcType: f0t255 |  => 31/40, 77.5%
Func: 0 | Step: 1.000000 | Method: kmedoids | ProcType: f0t255 |  => 21/40, 52.5%
Func: 1 | Step: 1.000000 | Method: kmedoids | ProcType: f0t255 |  => 37/40, 92.5%
Func: 2 | Step: 1.000000 | Method: kmedoids | ProcType: f0t255 |  => 38/40, 95%
Func: 3 | Step: 1.000000 | Method: kmedoids | ProcType: f0t255 |  => 37/40, 92.5%
Func: 0 | Step: 0.500000 | Method: kmedoids | ProcType: f0t255 |  => 22/40, 55%
Func: 1 | Step: 0.500000 | Method: kmedoids | ProcType: f0t255 |  => 37/40, 92.5%
Func: 2 | Step: 0.500000 | Method: kmedoids | ProcType: f0t255 |  => 38/40, 95%
Func: 3 | Step: 0.500000 | Method: kmedoids | ProcType: f0t255 |  => 37/40, 92.5%
Func: 0 | Step: 0.100000 | Method: kmedoids | ProcType: f0t255 |  => 22/40, 55%
Func: 1 | Step: 0.100000 | Method: kmedoids | ProcType: f0t255 |  => 37/40, 92.5%
Func: 2 | Step: 0.100000 | Method: kmedoids | ProcType: f0t255 |  => 38/40, 95%
Func: 3 | Step: 0.100000 | Method: kmedoids | ProcType: f0t255 |  => 37/40, 92.5%
Func: 0 | Step: 1.000000 | Method: hierarchical | ProcType: f255t0 |  => 39/40, 97.5%
Func: 1 | Step: 1.000000 | Method: hierarchical | ProcType: f255t0 |  => 37/40, 92.5%
Func: 2 | Step: 1.000000 | Method: hierarchical | ProcType: f255t0 |  => 37/40, 92.5%
Func: 3 | Step: 1.000000 | Method: hierarchical | ProcType: f255t0 |  => 37/40, 92.5%
Func: 0 | Step: 0.500000 | Method: hierarchical | ProcType: f255t0 |  => 39/40, 97.5%
Func: 1 | Step: 0.500000 | Method: hierarchical | ProcType: f255t0 |  => 37/40, 92.5%
Func: 2 | Step: 0.500000 | Method: hierarchical | ProcType: f255t0 |  => 37/40, 92.5%
Func: 3 | Step: 0.500000 | Method: hierarchical | ProcType: f255t0 |  => 37/40, 92.5%
Func: 0 | Step: 0.100000 | Method: hierarchical | ProcType: f255t0 |  => 39/40, 97.5%
Func: 1 | Step: 0.100000 | Method: hierarchical | ProcType: f255t0 |  => 37/40, 92.5%
Func: 2 | Step: 0.100000 | Method: hierarchical | ProcType: f255t0 |  => 37/40, 92.5%
Func: 3 | Step: 0.100000 | Method: hierarchical | ProcType: f255t0 |  => 37/40, 92.5%
Func: 0 | Step: 1.000000 | Method: mds_kmeans | ProcType: f255t0 |  => 39/40, 97.5%
Func: 1 | Step: 1.000000 | Method: mds_kmeans | ProcType: f255t0 |  => 37/40, 92.5%
Func: 2 | Step: 1.000000 | Method: mds_kmeans | ProcType: f255t0 |  => 37/40, 92.5%
Func: 3 | Step: 1.000000 | Method: mds_kmeans | ProcType: f255t0 |  => 37/40, 92.5%
Func: 0 | Step: 0.500000 | Method: mds_kmeans | ProcType: f255t0 |  => 39/40, 97.5%
Func: 1 | Step: 0.500000 | Method: mds_kmeans | ProcType: f255t0 |  => 37/40, 92.5%
Func: 2 | Step: 0.500000 | Method: mds_kmeans | ProcType: f255t0 |  => 37/40, 92.5%
Func: 3 | Step: 0.500000 | Method: mds_kmeans | ProcType: f255t0 |  => 37/40, 92.5%
Func: 0 | Step: 0.100000 | Method: mds_kmeans | ProcType: f255t0 |  => 39/40, 97.5%
Func: 1 | Step: 0.100000 | Method: mds_kmeans | ProcType: f255t0 |  => 37/40, 92.5%
Func: 2 | Step: 0.100000 | Method: mds_kmeans | ProcType: f255t0 |  => 37/40, 92.5%
Func: 3 | Step: 0.100000 | Method: mds_kmeans | ProcType: f255t0 |  => 37/40, 92.5%
Func: 0 | Step: 1.000000 | Method: kmedoids | ProcType: f255t0 |  => 37/40, 92.5%
Func: 1 | Step: 1.000000 | Method: kmedoids | ProcType: f255t0 |  => 37/40, 92.5%
Func: 2 | Step: 1.000000 | Method: kmedoids | ProcType: f255t0 |  => 38/40, 95%
Func: 3 | Step: 1.000000 | Method: kmedoids | ProcType: f255t0 |  => 37/40, 92.5%
Func: 0 | Step: 0.500000 | Method: kmedoids | ProcType: f255t0 |  => 37/40, 92.5%
Func: 1 | Step: 0.500000 | Method: kmedoids | ProcType: f255t0 |  => 37/40, 92.5%
Func: 2 | Step: 0.500000 | Method: kmedoids | ProcType: f255t0 |  => 38/40, 95%
Func: 3 | Step: 0.500000 | Method: kmedoids | ProcType: f255t0 |  => 37/40, 92.5%
Func: 0 | Step: 0.100000 | Method: kmedoids | ProcType: f255t0 |  => 37/40, 92.5%
Func: 1 | Step: 0.100000 | Method: kmedoids | ProcType: f255t0 |  => 37/40, 92.5%
Func: 2 | Step: 0.100000 | Method: kmedoids | ProcType: f255t0 |  => 38/40, 95%
Func: 3 | Step: 0.100000 | Method: kmedoids | ProcType: f255t0 |  => 37/40, 92.5%
